God names,WtbD(Words to be defined)
"Lugal-kur-dub 𒀭𒈗𒆳𒂀-  etymology: Unknown,possibly Old Babylonian meaning: Unknown, possibly “Hero that Makes (Foriegn) Lands/Mountains Tremble”,“Hero that Makes the Underworld Tremble”
","en-priest  𒂗/𒂗𒂗 possible logographic meaning ""lord priest"", logographically composed of the signs:"
"Ninkarnuna 𒀭𒎏𒋼𒀀𒉣𒈾-  etymology: Sumerian/Old Babylonian, meaning:""Lord of the Exalted Quay""","iku-constellation 𒀯𒀸𒃷𒀸𒃷/𒀭𒀯𒄿𒆪𒌋𒃷  possible logographic meaning, logographically composed of the signs:""Single/Alone""-""Field""/""To Come Forth/Sprout""-""To Sit/Dwell/Lay/Spread""-""Totality/Hole/10""-""Field"""
"Asag𒀉𒉺 / Imwaklum Hero/Asakku  -  
Asag etymology: Sumerian/Old Babylonian, meaning: Unknown, possibly ""Who makes the Forces Tremeble” or “Horn Smasher”
Imwaklum Hero etymology: presumably Sumerian/Old Babylonian, meaning: Unknown, possibly ""Overseer of Rain""
Asakku  etymology: Akkadian for Asag ","melam 𒀭𒈨𒉈/𒈨𒉈  possible logographic meaning ""Divine Radiance/Aura"", logographically composed of the signs: ""To be""-""This/Fire""(alight/lit?)"
"Quingu/Kingu 𒀭𒆥𒄖 -  etymology: Sumerian/Old Babylonian, meaning: translated as  ""Unskilled Laborer"" Written as "" Flax Sickler/Cutter""","estub-barley 𒄞(ectub(carp)) 𒀊𒌈(Estum (chaff?))  possible logographic meaning ""Spring Barley"", logographically composed of the signs:""Bull"" or ""Shrine""-""Crossbeam/Rear"""
"Alla 	𒀭𒀠𒆷/𒀭𒉄-  etymology: Unknown, meaning: Unknown","innuha-barley 𒅔𒉡𒁕(inu {straw}(in-nu-da))  possible logographic meaning, logographically composed of the signs:(𒅔𒉡)""Straw/Chaff""-""Side/Edge"""
"Kakka/Gaga 𒀭𒂵𒂵-  etymology: Unknown, believed to be Amoritic meaning: Unknown","Innin 𒅔𒎏 possible logographic meaning, logographically composed of the signs:""Sector""-""Lady"""
"Lamashtu 𒀭𒈕𒈨-  etymology: Unknown, meaning: Unknown, written as, possibly  “The Twins Corpse” or “Corpse Maker” alternatively “The Hanging Corpse” or “Corpse Hanger”
","Sirara 𒌓𒈣𒀏𒆠𒋳/𒌓𒈣𒀏𒋳𒆠  possible logographic meaning ""Place That Takes hold of the Shining Ship"", logographically composed of the signs: ""White/Bright/Shining""-""Ship""-""Place""-""To take Hold/To Touch/To bind/Attack"""
"Neti/Nedu 𒀭𒉈𒀉𒋾 -  etymology: Sumerian/Akkadian, meaning: ""The Fire Bringer""//Bitu/Bidu𒀭𒉈𒀉𒋾-  etymology: Akkadian form of  Nedu/Neti (sumerian) meaning: Unknown, possibly ""Fire Keeper"" or ""Fire Bringer""","zalag  𒌓/𒂟 logographic meaning ""Bright/To Shine"", logographically composed of the signs:"
"Nabu 𒀭𒀝 -  etymology: Semetic, meaning: in Akkadian ""Speaker"" or ""Authority"", written as ""Maker""","Eanna/E-ana 𒂍𒀭𒈾/𒂍𒀭 possible logographic meaning ""Temple of the Sky/Heaven/An"", logographically composed of the signs:"
"Ninjirida 𒀭𒎏𒄌𒁕-  etymology: Unknown, presumably Sumerian meaning: Unknown, possibly written as “Mistress From the City”,“ Lady of the Distant City”, or ""Lady of the Horizon”
","Kullab/Kulaba 𒆰𒀕𒆠/𒆰𒀊𒆠  possible logographic meaning ""Dwelling(Place) of the Progeny"", logographically composed of the signs:"
"Zangara 𒀭𒍝𒀭𒃼𒊏 -  etymology: Unknown, presumably Sumerian meaning: Unknown, possibly written as “Beloved of An/Heaven, The Striker/Killer/Beater/Impressor of Heroes” or “Beloved Hero of An/Heaven, The Striker/Killer/Beater/Impressor”
","usumgal 𒀭𒃲𒁔/𒀭𒁔𒃲 logographic meaning ""Great Serpent/Dragon"", logographically composed of the signs: (usum 𒁔)""Snake""-""Great/Large/Big/Full-grown"""
"Nirah 𒀭𒈲/𒀭𒈲𒆠 -  etymology: Sumerian/Old Babylonian, meaning: ""Little Snake"" or ""Snake of the Earth""","kiurua 𒆠𒌵(Kiuri Place/vessel (proper name of akkad))/𒆠𒅗𒄯𒊏(kizurra)/𒆠𒋩𒊏𒆠(Kisura)/𒆠𒋩𒊏kisura [BORDER] /𒆠𒅇𒊏/𒆠𒃡/𒆠𒃡𒊏 (kiʾur)( ""foundation; a private room; a part of the Netherworld; (animal) habitation"")   possible logographic meaning most likely either Kiuri or Ki-ur, logographically composed of the signs:"
"Abba-cucu 𒀭𒀊𒁀𒋙𒋙/ Inim-kur-dugdug 𒀭𒅗𒉽𒅗𒅗-  etymology: Unknown, possibly Sumerian meaning: Unknown, possibly written as “The Speaker of Foreign Words” or “The Father Of Words”
","suluhu-garment/zulumhi-garment (𒋠𒋤)/𒌆𒍤𒀀/𒋢𒇻𒄷𒋠𒋤  possible logographic meaning ""Long Fleece"", logographically composed of the signs: 𒋠""Wool/Fleece""-𒋤""To Be distant/Long-lasting/extend/elongate"""
"Ninsun/Ninsumun 𒀭𒊩𒌆𒄢-  etymology: Sumerian/Old Babylonian, meaning: ""Lady/Mistress of the Wild Cow""","Nin-ship 𒎏  possible logographic meaning, logographically composed of the signs:"
"Gilgamesh 𒀭𒄑𒂆𒈦/Bilgames 𒀭𒄑𒉋𒂵𒎌-  
Gilgamesh  etymology: Romanized from Akkadian, meaning: Unknown, possibly witten as “Tree Splitter”/“The Tree Splitting Axe” or “Hero of the Splitting Axe”/“Hero of the Splitting Maul”2
Bilgames etymology: Sumerian/Old Babylonian, meaning: Unknown,possibly witten as ""Hero Who Brings Friewood""","imman-stone 𒅎𒈠𒈾/𒅎𒈠𒀭 (imanak )  possible logographic meaning, logographically composed of the signs: ""Wind/Breath/Clay/Mud/Tablet""-""House/Temple"""
"Enkidu 𒀭𒂗𒆠𒄭-  etymology: Sumerian/Old Babylonian, meaning: Unknown, possibly ""Lord of the Good Place"" or ""Creation of Enki""/""Created By Enki""","silagarra-vessel 𒋡𒃻𒊏  possible logographic meaning, logographically composed of the signs:""Fragment/Cut of Meat/1 Sila(unit of capacity)""-""To Place""-""To hit/Beat upon"""
"Huwawa 𒀭𒄷𒉿𒉿 -  etymology: Sumerian/Old Babylonian, meaning: Unknown, possibly written as ""The One Who Grubs With Understanding and Reason""","ala-vessel 𒂁𒀀𒇲 possible logographic meaning, logographically composed of the signs:""Clay pot""-""Water""-""To habg/Suspend/Balance/Display"""
"Nungal 𒀭𒎏𒃲-  etymology: Sumerian/Old Babylonian, meaning:  ""Great Princess/Lady/Mistress""","suba-jewel 𒎎𒍝𒈽/𒍝𒈽/𒈹𒍝  possible logographic meaning, logographically composed of the signs:""Stone/Gem/Boulder""-""Gem""-""Crown/Toextract"""
"Humbaba 𒀭𒄷𒌝𒁀𒁀-  etymology: Sumerian/Akkadian, meaning:  possibly written as ""The One Who Grubs, Tied to His Assigned Allotment""","antasurra 𒀭𒋫𒋩𒊏/𒎎𒀭𒋫𒋩𒊏  possible logographic meaning, logographically composed of the signs: ""Heaven/Sky""-""From out of""-""To Drip/Rain/Sqeeze/Twist/Extract/Strain""-""To hit"""
"Irnina 𒀭𒅕𒉌𒈾-  etymology: Unknown, presumably Sumerian/Old Babylonian meaning: Unknown, possibly written as “Anointer of Men”","u-bird 𒌑𒄷  possible logographic meaning, logographically composed of the signs:""Pasture/Grass/Grass-fed/Free-range""-""Bird"""
"Allallu-bird  𒉺𒇻𒌉𒄷-  etymology: presumably Sumerian/Old Babylonian, meaning: Unknown, possibly written as “The Abundant Wild/Small Bird”  or “The Wild/Small Bird of Abundance” ","sem(drum)/cem drums 𒀚/𒋛𒅎/𒀘 possible logographic meaning, logographically composed of the signs:""Heart/Emotion/Anger/Rage/Courage"""
"Silili -  etymology: Unknown, meaning: Unknown","adab (instrument/drum) 𒀀𒁕𒀊/ 𒀀𒁕𒁀 possible logographic meaning, logographically composed of the signs:""water/Fluid""-""Side/Edge""-""Sea/Hole/Window"""
"Liltu 𒀭𒇸𒌅-  etymology: Unknown, meaning: Unknown, possibly written as ""Moon Ghost""","Emeteursag 𒂍𒈨𒋼𒌨𒊕 (Emeteursaŋ ) possible logographic meaning ""house suitable for heroes"", logographically composed of the signs:""House/Temple""-""To Be""-""Appropriate Thing""-""Dog/Lion/Beast of Prey""-""Slave/Man/Person/Front/Fore/Beginning"""
"Dumuzi/Dumuzid 𒀭𒌉𒍣/Dumuzid-ama-ucumgal-ana𒀭𒌉𒍣𒂼𒃲𒁔𒀭𒈾/Ama-ucumgal-ana 𒀭𒂼𒃲𒁔𒀭𒈾 -  
Dumuzi/Dumuzid etymology: Sumerian/Old Babylonian, meaning: ""The Righteous/Faithful Son""
Ama-ucumgal-ana etymology: Sumerian/Old Babylonian, meaning: Unknown, possibly ""The Vast/Broad Great Serpent of Heaven""","muc grain (ce-muc5) 𒊺𒈲  (šeĝuš)possible logographic meaning, logographically composed of the signs: ""Grain""-""Snake"""
"Hushbisha 𒀭𒄭𒄊𒁉𒊷- Wife of Namtar -  etymology:  Sumerian/Old Babylonian, meaning: Unknown, possibly written as “The Good Path That is Favorouble”, “The Favourable Good Path”
","sajursaj/saĝ-ursaĝ 𒊕𒌨𒊕 possible logographic meaning “the one who enlightens the heart”/”the center of attention"", logographically composed of the signs:""Slave/Man/Person/Front/Fore/Beginning""-""Dog/Lion/Beast of Prey"""
"Qassu-tabat -  etymology: Unknown, possibly Old Babylonian meaning: Unknown, possibly ""The Bow-Star's Companion""",
"Ninshuluhha 𒀭𒎏𒍝𒈽𒌧𒈠-  etymology: Unknown, possibly Old Babylonian meaning: Unknown, possibly “Mistress of  Cleansing Brightness”/”Mistress Who Distributes Cleansing”/”Mistress Who Cleanses Fetidness”
","Adab(City) 𒌓𒉣𒆠/𒌓𒉣 possible logographic meaning ""Land of the Shining/Pure Prince"", logographically composed of the signs: ""White/Bright/Shining""-""Prince""-Place/Land"""
"Bibbu -  etymology: Unknown, possibly Old Babylonian meaning: Unknown, possibly ""Wild Sheep""","Akshak/Akcak 𒌔𒆠/𒂩𒂩 possible logographic meaning ""Land of Copper Slag"", logographically composed of the signs: ""spittle/phlegm/mucus/foam/poison/copper slag""-""Place/Land""/Second logogram meaning is unknown"
"Dumuzi-abzu 𒀭𒌉𒍣𒍪𒀊-  etymology: Sumerian/Old Babylonian, meaning: ""Good/Faithful Child of the Abzu"" or ""Good/Faithful Daughter of the Abzu"" ","Unug/Uruk/Erek 𒀕𒆠/𒀕/אֶרֶךְ‎ (Erek) logographic meaning ""(Place/Land of the)Dwelling"", logographically composed of the signs:"
"Shiduri -  etymology: Unknown, meaning: Unknown",
"Errakal/Erragal 𒀭𒀴𒊏𒆗 /𒀭𒀴𒊏𒃲 -  etymology: Unknown,possibly Old Babylonian meaning: Unknown, possibly written as ""The Great/Mighty Warden""",
"Sissig 𒀭𒋛𒋛𒅅-  etymology: Unknown, presumably Old Babylonian meaning: Unknown, possibly ""The Divine Breeze""",
"Dimpikug 𒀭𒈕𒉿𒆬-  etymology: Unknown, possibly Old Babylonian meaning: Unknown, possibly written as “Pure Father of Understanding”,“Corpse of Pure Understanding/Reason”, or “He of Pure Understanding of Corpses”
","Kubiresh-dil-daresh 𒆪𒄑𒉆𒊑𒌍𒀸𒁕𒊑𒌍 possible logographic meaning, logographically composed of the signs: ku""To Place""-ges""Wood""-bir""Locust""-re""That""-es/usu""3 or 30""-dil""Single/Alone/Unique""-da""Side/Edge""-"""
"Bitti -  etymology: Unknown, presumably Sumerian meaning: Unknown, possibly refers to a type of wool(Bitu?)","Ulaya river 𒀀𒇉𒌑𒆷𒀀 possible logographic meaning, logographically composed of the signs:""Watercourse""-""Plant/Grass/Pasture""-""Shard/Pot""-""Water/Fluid"""
"Enmul 𒀭𒂗𒀯-  etymology: Sumerian/Old Babylonian, meaning: ""Lord of the Stars"",""Lord of Radiance"",or ""Lord of That Which Shines""",
"Ninmul 𒀭𒎏𒀯-  etymology: Sumerian/Old Babylonian, meaning: ""Lady/Mistress of the Stars"",""Lady/Mistress of Radiance"",or ""Lady/Mistress of That Which Shines""","E-muc-kalama 𒂍𒈹𒌧𒈠 possible logographic meaning, logographically composed of the signs:""House/Household/Estate/Temple""- ""Space(distance)/Face""-𒌧""Unknown""-""House/Temple"""
"Ninki 𒀭𒎏𒆠-  etymology: Sumerian/Old Babylonian, meaning: ""Lady/Mistress of the Earth""","Bad-tibira 𒂦𒁾𒉄𒆠 possible logographic meaning (Place Where the Walls Are Inscribed?), logographically composed of the signs: ""Wall/Fortification""-""Tablet/Cylinder Seal""-""To Sew/To Drill/Carpenter"""
"Endukuga 𒀭𒂗𒇯𒆬𒂵 -  etymology: Sumerian/Old Babylonian, meaning: “Lord of Holy/Pure Mound”","Zabalam 𒍝𒈽𒀕𒆠/𒈹𒍝𒀕𒆠/𒈹𒀊 possible logographic meaning, logographically composed of the signs:""Water/Fluid""-(if suh)""Crown/To Extract/(if mus)Face/Flatspace/(if suku) Door Pole""/""Dwelling"""
"Nindukuga 𒀭𒎏𒇯𒆬𒂵-  etymology: Sumerian/Old Babylonian, meaning: “Lady/Mistress of Holy/Pure Mound”","E-cara 𒂍𒊬 proposed logographic meaning: ""House of the Universe"", logographically composed of the signs:""House/Temple""-""Garden Plot/To Run/Hasten/Inscribe/ To Write on"""
"Endashurimma 𒀭𒂗𒁕𒇇𒈠-  etymology: Unknown, presumably Sumerian meaning: Unknown, possibly ""Lord of the Dung Heap""","Barag-dur-jara 𒁈𒂉𒃻𒊏 possible logographic meaning, logographically composed of the signs: Barag""Sanctum/Dias/Throne""-dur2""To Sit/Seat/To Dwell/To be Inactive""-""To Place""-""To Hit"""
"Nindashurimma 𒀭𒎏𒁕𒇇𒈠-  etymology: Unknown, presumably Sumerian meaning: Unknown, possibly ""Lady/Mistress of the Dung Heap""","Kic/ Kish 𒆧𒆠/𒆧/𒀭𒆧𒆠 possible logographic meaning, logographically composed of the signs:""Totality/World"""
"Enmu-utula 𒀭𒂗𒈬𒌓𒇲-  etymology: Unknown, possibly Sumerian/Old Babylonian meaning: Unknown, possibly ""The Famous Lord of the Sheperds""","Hursaj-kalama 𒄯𒊕𒌧𒈠 possible logographic meaning: ""Moutain/Foothill of the Land(of Sumer)"", logographically composed of the signs:""mountains/mountain range/highlands/foothills""-""Land"""
"Enutila 𒀭𒂗𒌓𒇲/𒀭𒂗𒌓𒋾𒆷/𒀭𒂗𒅇𒋾𒆷-  etymology: Unknown, possibly Sumerian/Old Babylonian meaning: Unknown, possibly written as “Lord of the Light in the Distance”/”Lord of Pasture”/”Lord of the Past”/”Lord of the (Wild) Herd”
","E-Ulmac/Ulmac (E-Ulmaš)𒌌𒈦𒆠/𒌌𒈦 possible logographic meaning, logographically composed of the signs:""to be distant (in time)/Remote/Ancient/Old""-""He-Goat/Sacrificial Animal/""nterest"""
"Ninilduma  𒀭𒊩𒌆𒅆𒉄𒁍-  etymology: Sumerian/Old Babylonian, meaning: ""The Lord of Carpenters""/""The Lord, The Overseer of Carpenters"" written as ""The Howling Lord of Carpenters""","Agade/Akkad/Akkadian 𒀝𒂵𒉈𒆠/𒀀𒂵𒉈𒆠/𒀀𒂵𒉈 possible logographic meaning, logographically composed of the signs: a/ak ""to do/perform/act/to make/construct/to treat/make into/make like""-ga ""Milk/Suckling/To Bring/To Carry""- de ""to carry; to carry off; to wash away (by water or storm); to full cloth; to drive (a single animal)"""
"Amardu/Martu 𒀭𒈥𒌅/Su-henuna 𒀭𒋢𒄭𒉣𒈾-  
Amardu/Martu etymology: Unknown, presumably Sumerian meaning: Unknown, possibly ""He/The One Born in a Wagon/Chariot""
Su-henuna etymology: Unknown, presumably Sumerian meaning: Unknown, possibly “Flesh of the Good Prince”/“Prince of the Good Flesh”
","Ibgal 𒅁𒃲/ 𒅁𒃲𒍪𒀀  possible logographic meaning ""The Great Shrine"", logographically composed of the signs: ib""Shrine""-""Big/Large/Great"""
"Kusdununna 𒀭𒅖𒆕𒉣𒈾-  etymology: Unknown, meaning: Unknown, possibly “Prince of the Ruined/Devastated Mound”","Umma 𒄑𒆵𒆠  possible logographic meaning, logographically composed of the signs:""wood""-kusu ""a creature(possibly a crab or snapping turtle)"""
"Numucda/Numushda/Numušda  𒀭𒉡𒈲𒁕-  etymology: Unknown, meaning: Unknown, possibly written as ""Heavenly Twisting Serpent""/""The Serpent Lying Down""","E-Dilmuna 𒂍𒉌𒌇𒈾  possible logographic meaning ""Temple of Dilmun"", logographically composed of the signs:"
"Adjar-Kidug 𒀭𒀜𒃻𒆠𒄭-  etymology: Unknown, meaning: Unknown","Amac-e-kug 𒁦𒂍𒆬(Eamaškuga)  possible logographic meaning, logographically composed of the signs: amas""Sheepfold""-""House/Temple""-""Metal/Silve/Sanctified/Purify/Holy/Sacred"""
"Namrat 𒀭𒉆𒊏𒀜/𒀭𒉆𒋥-  etymology: Unknown, meaning: Unknown","Kisiga 𒂮𒆠/𒂫𒆠 possible logographic meaning, logographically composed of the signs:""Unknown"""
"Kumarbi 𐎋𐎎𐎗𐎁/𐎋𐎎𐎗𐎆-  etymology: Unknown, meaning: Unknown","E-ecdam-kug 𒂍𒂠𒁮𒆬 (E-ešdam-kug) possible logographic meaning, logographically composed of the signs:es""rope/string""-""Spouse""-""Metal/Silve/Sanctified/Purify/Holy/Sacred"""
"A.GILIM/Kotharat 𐎋𐎘𐎗𐎚/ Šassūrātu -  
A.GILIM etymology: Unknown, meaning: Unknown
Kotharat etymology: Unknown,possibly Semetic ""ksr"" /""skilled""or Ugaritic ""ktr""/wise"" meaning: Unknown,
Šassūrātu etymology: Unknown, presumably from Akkadian ""šassūru"" meaning: Unknown, possibly ""The Midwives""","Jirsu/Girsu 𒄈𒋢𒆠/𒄈𒋢 possible logographic meaning, logographically composed of the signs:gir ""Dagger""-""Body/Flash/Kin/Famiy/To Sink/Submerge/Drain"""
"Seri/Serisu  -  etymology: Unknown, meaning: Unknown","E-sig-mece-du 𒂍𒋞𒈨𒂠𒉐/𒂍𒋞𒈨𒂠𒌌(E-šeg-meše-du) possible logographic meaning, logographically composed of the signs: sig ""Brick/Mudbrick""- se""Towards/to/up to/Until/for/Because of/For the Sake of/as for/regarding""-tum ""To bring in/To take away"""
"Tella -  etymology: Unknown, meaning: Unknown","Isin 𒉌𒋛𒅔𒆠/𒉌𒋛𒅔 possible logographic meaning, logographically composed of the signs: i ""Oil/Fat/Tallow""-si ""Tofill/Horn/Finger/Fret""- im ""Sector/Straw/Chaff/Insult/Abuse/Taunt"""
"Tauri  -  etymology: Unknown, meaning: Unknown","Anzagar 𒀭𒍝𒃼/𒀭𒍝𒃼𒆠 possible logographic meaning ""Land of the Fortified Wall"", logographically composed of the signs: gar""Cake/Knob/To be Heroic"""
"Labbu 𒆗-  etymology: Unknown, meaning: Unknown, written as "" Mighty/Strong/Powerful One""","Nijin-jar-kug 𒌋𒌓𒆤𒆬  possible logographic meaning, logographically composed of the signs:𒌋𒌓𒆤 (nijin)""Fetus""-gar""to put/place/set/situate/to set up/establish/institute/to appoint""-""Metal/Silve/Sanctified/Purify/Holy/Sacred"""
"Ammezzadu -  etymology: Unknown, possibly Syrian or Proto-Syrian meaning: Unknown","E-cag-hula 𒂍𒊮𒄾𒆷(Ešaghula) possible logographic meaning ""House That Lightens the Heart"", logographically composed of the signs: sag""Heart/Inside/Interior""-hul""to rejoice/be happy/delight in""-""hang/balance/suspend"""
"Mukishanu/Mukisanu  -  etymology: Unknown, presumably Hurrian meaning: Unknown","Kazallu 𒅗𒉌𒇻𒆠 possible logographic meaning ""Land of Abundance""/""Shining Land of Abundance"", logographically composed of the signs: ka""Mouth""-zal""to Shine""-lu ""to be Abundant/Stir up/Mix"""
"Istanu -  etymology: Unknown, possibly Hittite meaning: Unknown","pala dress 𒌆𒉆𒎏/𒌆𒉆𒂗 possible logographic meaning ""Women's Garment"", logographically composed of the signs:tug ""Cloth/Garment""-nam ""Fate/Destiny/state of being""-nin ""Lady/Sister"""
"Kiaže/The Great Sea/Yamm 𐎊𐎎/Sea/Yawu/Yahm 𐎊/Judge Nahar -  
Kiaže etymology: Hurrian , meaning: ""The Sea""
Yamm/Yahm 𐎊 etymology: Ugaritic, meaning: ""The Sea""
Yawu etymology: Unknown,presumably Semetic meaning: Unknown, possible mistranslation
Nahar etymology: Ugaritic, meaning: ""River""","he-em-du he-em-du 𒃶𒅎𒁺𒃶𒅎𒁺 (hemeda)possible logographic meaning, logographically composed of the signs:hemeda 𒃶𒅎𒁺 ""Purple"""
"Sertapsuruhi -  etymology: Unknown, meaning: Unknown","ja-nu ja-nu 𒃠𒃠 (ŋanun) possible logographic meaning, logographically composed of the signs:ŋanun 𒃠""Storehouse"""
"Hedammu -  etymology: Hurrian, meaning: exact Unknown, written as ""Snake""","E-mud-kura 𒂍𒄷𒄭𒆳𒊏(Emudkurak) possible logographic meaning, logographically composed of the signs: mud 𒄷𒄭""Blood""-kur 𒆳""Mountain""- ra 𒊏"" To hit"""
"Ninatta -  etymology: Hurrian, meaning: Unknown","E-kic-nu-jal 𒂍𒆧𒉡𒅅/𒂍𒄑𒉢𒃲(Ekišnuŋal) possible logographic meaning ""Great House Not of this World"", logographically composed of the signs:""""Totality/World""""-""not""-""Large/Great"""
"Kulitta -  etymology: Hurrian, meaning: Unknown","Ganzer/Ganzir 𒅆𒆳𒍝/Arallu/Aralli/Arali 𒀀𒊏𒇷/Sheol שְׁאוֹל/Kurnugi 𒆳𒉡𒄄/𒆳𒉡𒄄𒀀/Irkalla/Erkalla 𒀍/𒀕𒃲(irigal) possible logographic meaning, logographically composed of the signs: Ganzer igi ""First/Earlier/Eye/Sight/Vision/Face""-kur ""Mountain/Foriegn Land/East(ener)/East Wind/Netherworld""-za ""bead/precious stone/gem""/ Arallu ""Water/Heir""-""Strike down/to drive (animals)/to impress (a seal)-""To be Rich/Juniper""/Kurnugi ""Mountain/Foriegn Land/East(ener)/East Wind/Netherworld""-""Not""-""Return"" (Land of no Return)/Irkalla ""earth, land/underworld/(poetic) grave/tomb"""
the Storm-God of Nerik -  ,"kur-jara/kur-ĝara priest/kurjara-cult performers 𒆳𒃻𒊏/𒆳𒂷𒊏 possible logographic meaning, logographically composed of the signs: ""Netherworld""-""To Place""-""To hit/Beat/Strike Down/to Drive (animals)/to Impress (a seal)"
"Inara -  etymology: Unknown, presumably Hittite  meaning: Unknown","gala-tura 𒍑𒆪𒌉/𒍑𒆪𒌉𒊏 possible logographic meaning, logographically composed of the signs: gala 𒍑𒆪 ""lamentation singer/priest""-tur ""to be young/to be small/boy/servant"""
"Telipinu 𒀭𒋼𒂊𒇷𒁉𒉡𒌑/	𒀭𒀸𒇻𒌋𒉿𒉡-  etymology: exact Unknown, meaning: (in cuneiform) Unknown, in Hattic ""Exalted Son""","Sig-kur-caga 𒋞𒆳𒊮𒂵 (Šegkuršagak) possible logographic meaning, logographically composed of the signs: šeg ""Brick/Brickwork/Mudbrick/Alternative form of 𒂍𒋞 (e₂-gar₈ /⁠egar⁠/)""-kur ""Mountain""-šag ""heart, inside, interior, middle,womb""-ga ""Milk,suckling,to bring,to carry"""
"Hannahanna/Ninmah - Hannahanna etymology: Hattic ""Grandmother"", meaning: Unknown, possibly ""Great Grandmother"" or ""Grand Mother's Grand Mother""","šu-gura 𒌆𒋗𒄥𒊏 (šugura) Turban possible logographic meaning, logographically composed of the signs: tug ""cloth, garment, textile, woolen garment""- šu ""Hand/Handwriting/Responsibility""-gur ""to turn, bend,to wrap, twist, wind,to place into a bundle""- ra ""To hit, to Beat"""
"Kamrusepa/Gula -  etymology: presumably Hattic, meaning: Unknown, possibly ""Cloud Spirit""/""Spirit of the Clouds""/""Smoke Spirit""/""Spirit of Smoke ""","Enkum 𒂗𒉽𒅊𒉣𒈨𒂬 proposed logographic meaning ""Treasurer"", logographically composed of the signs: en""Lord""-pap""first and foremost/pre-eminent""-sig""Pale""-nun""First/Prince/Noble/Best/Ruler""-me""to Be""-kum""Unknown"
"Hapantali -  etymology: Unknown, possibly Luwian ""sheep"" meaning: Unknown, possibly ""Sheperd""","UL.MA Hill  (written as 𒇯𒌌𒈠 ) 𒌌𒈠(U.GUD.MA  spelled Ul.MA is a type of mound)  possible logographic meaning, logographically composed of the signs:(du ""Ruin/Mound"")-ul ""fruit/Bud/to be distant (in time)/remote/ancient/old/to swell/to rejoice""-ma ""Alternative form of 𒄑𒈠 (g̃ešpeš₃ /⁠peš⁠-""Fig"")/house, temple (only attested in Old Babylonian and later)"""
"Papaya -  etymology: Unknown, possibly Hattic meaning: Unknown","Field Hill 𒀀𒊮𒂵(written as 𒇯𒀀𒊮𒂵 ) possible logographic meaning, logographically composed of the signs:(du ""Ruin/Mound"")-a-sag ""Field""-ga ""To Bring/To Carry/Milk/Suckling"""
"Istustaya -  etymology: Unknown, possibly Hattic meaning: Unknown","Ensi 𒂗𒈨𒇷/𒂚𒇷𒂚𒇷 (written EN×ME.LI) Akkadian meaning ""Dream Interpreter"" possible logographic meaning, logographically composed of the signs: en""lord/priest""-me ""to be""-𒂚(EN×ME)-Li 𒇷 ""Juniper/to be rich), may also be (en₃ /en/) compound verb element of uncertain meaning (though may relate to 𒇷⫽𒋻 • (en₃ tar /en tar/) to take care of, attend to)"
"Miyatanzipa -  etymology: Unknown, possibly Hattic meaning: Unknown","muande-e 𒈬𒌑𒀀𒀭𒌤𒂊/𒈬𒌑𒀀𒀭𒁺𒂊 possible logographic meaning, logographically composed of the signs: muʾuʾa 𒈬𒌑𒀀 """"youth/young man""- an ""Heaven/Sky""-de2 𒌤 ""to pour, winnow/to shout, call”- de6𒁺 ""to collect/to bring in, deliver/to take away, carry off"" - e 𒂊 ""To speak"""
"Impaluri -  etymology: Unknown, meaning: Unknown","gugal 𒆬𒅅/𒄘𒃲 (guŋal) logographic meaning ""Canal Inspector"", logographically composed of the signs: ku ""Pure/Holy""- gal ""to exist, be there/to produce, cause to be, provide/ to be in the care or possession of."
"Irsirra-Gods -  etymology: Unknown, meaning: Unknown","Agrun Chamber (cella/bedrom/ritual building/) 𒂍𒉣/𒁖𒂍𒉣 possible logographic meaning, logographically composed of the signs:"
"Upelluri -  etymology: Unknown, meaning: Unknown","White Quay 𒋼𒀀𒌓  possible logographic meaning, logographically composed of the signs: ""Quay""-""White"""
"Kunkunuzzi/Ullikummi  -  etymology: Unknown, meaning: Unknown","Blue Quay 𒋼𒀀𒍝𒆳 possible logographic meaning, logographically composed of the signs: ""Quay""-""Blue"""
"Hebat (Hurrian 𒀭𒄭𒁁/Ugritic 𐎃𐎁𐎚)-  etymology: Unknown, meaning: Unknown","egir-zid priestess 𒊩𒂠𒍣/𒂠𒍣 possible logographic meaning, logographically composed of the signs: egir 𒊩𒂠 ""princess/profession(Ur III)-zid 𒍣 ""(to be) right, true, loyal; right hand"""
"Takiti -  etymology: Unknown, meaning: Unknown","nin-diĝir priestess 𒁮𒀭 possible logographic meaning ""The Spouse of Heaven"", logographically composed of the signs: dam 𒁮 ""Spouse""- an ""Sky/Heaven"""
"Silver -  etymology: Unknown, meaning: Unknown","išib priest/icib priest 𒈨 possible logographic meaning ""Purification Priest"", logographically composed of the signs: isib ""purification priest, magician,spell,to be pure, clear"""
"Kubaba -  etymology: Unknown, meaning: Unknown","lu-maḫ priest/lumah-priests/lumahhu-priests/lumak-priests 𒇽𒈤 possible logographic meaning ""High Priest"", logographically composed of the signs: lu ""man, person,person in charge,the one who""- mah ""to be high, chief, senior, lofty, exalted, august,to be great, large, magnificent"""
"Lamma 𒀭𒆗-  etymology: Unknown, meaning: Unknown written as "" Mighty/Strong/Powerful One""",
"Izzummi -isumud -  etymology: Hurrian, meaning: Unknown",
